SYNSET_ID	TEXT	PARENTS	PARENT_TEXTS
149413-V	ПОДАВАТЬ ГУДОК; ГУДЕТЬ; ЗАГУДЕТЬ; ЗАТРУБИТЬ; ПОДАТЬ ГУДОК; ПРОГУДЕТЬ; ТРУБИТЬ	["106542-V", "134890-V"]	["СНАБЖАТЬ ИНФОРМАЦИЕЙ; ДАВАТЬ ЗНАТЬ; ДАВАТЬ ИНФОРМАЦИЮ; ДАВАТЬ СВЕДЕНИЯ; ДАТЬ ЗНАТЬ; ДАТЬ ИНФОРМАЦИЮ; ДАТЬ СВЕДЕНИЯ; ДЕРЖАТЬ В КУРСЕ; ДОНЕСТИ; ДОНЕСТИ ИНФОРМАЦИЮ; ДОНОСИТЬ; ДОНОСИТЬ ИНФОРМАЦИЮ; ИЗВЕСТИТЬ; ИЗВЕЩАТЬ; ИНФОРМИРОВАТЬ; ОБЕСПЕЧИВАТЬ ИНФОРМАЦИЕЙ; ОБЕСПЕЧИТЬ ИНФОРМАЦИЕЙ; ОПОВЕСТИТЬ; ОПОВЕЩАТЬ; ПОВЕДАТЬ; ПОСТАВИТЬ В ИЗВЕСТНОСТЬ; ПРЕДОСТАВИТЬ ДАННЫЕ; ПРЕДОСТАВИТЬ ИНФОРМАЦИЮ; ПРЕДОСТАВИТЬ СВЕДЕНИЯ; ПРЕДОСТАВЛЯТЬ ДАННЫЕ; ПРЕДОСТАВЛЯТЬ ИНФОРМАЦИЮ; ПРЕДОСТАВЛЯТЬ СВЕДЕНИЯ; ПРОИНФОРМИРОВАТЬ; СНАБДИТЬ ДАННЫМИ; СНАБДИТЬ ИНФОРМАЦИЕЙ; СНАБДИТЬ СВЕДЕНИЯМИ; СНАБЖАТЬ ДАННЫМИ; СНАБЖАТЬ СВЕДЕНИЯМИ; СООБЩАТЬ; СООБЩИТЬ; СТАВИТЬ В ИЗВЕСТНОСТЬ; УВЕДОМИТЬ; УВЕДОМЛЯТЬ", "ПРОСИГНАЛИЗИРОВАТЬ; ДАТЬ СИГНАЛ; ПОДАВАТЬ СИГНАЛ; ПОДАТЬ СИГНАЛ; ПРОСИГНАЛИТЬ; СИГНАЛИЗИРОВАТЬ; СИГНАЛИТЬ"]
149413-V	ПОДАВАТЬ ГУДОК; ГУДЕТЬ; ЗАГУДЕТЬ; ЗАТРУБИТЬ; ПОДАТЬ ГУДОК; ПРОГУДЕТЬ; ТРУБИТЬ	["112574-V", "107093-V"]	["ГУДЕТЬ; ЗАГУДЕТЬ; ПРОГУДЕТЬ", "ЗВУЧАТЬ; ПРОЗВУЧАТЬ; ИЗДАТЬ ЗВУК"]
111863-V	РАСКОРЧЕВАТЬ; КОРЧЕВАТЬ; ВЫКОРЧЕВЫВАТЬ; ВЫКОРЧЕВАТЬ	["110916-V", "115776-V"]	["ДОСТАТЬ; ИЗВЛЕКАТЬ; ДОСТАВАТЬ; ИЗВЛЕЧЬ", "ОТКАПЫВАТЬ; ОТРЫВАТЬ; ОТКОПАТЬ; ВЫРЫТЬ ИЗ ЗЕМЛИ; ВЫКАПЫВАТЬ; ВЫРЫТЬ; ВЫКАПЫВАТЬСЯ; ВЫКОПАТЬ; ОТРЫТЬ; ВЫРЫВАТЬ"]
111863-V	РАСКОРЧЕВАТЬ; КОРЧЕВАТЬ; ВЫКОРЧЕВЫВАТЬ; ВЫКОРЧЕВАТЬ	["110911-V", "137227-V"]	["ВЫРЫВАТЬ; ВЫХВАТЫВАТЬ; ВЫДИРАТЬ; ВЫДРАТЬ; ВЫРВАТЬ; ВЫХВАТИТЬ", "ВЫРВАТЬ С КОРНЯМИ; ВЫРЫВАТЬ С КОРНЯМИ"]
130445-V	ВЫКАЧАТЬ; ВЫКАЧИВАТЬ	["115594-V", "110916-V", "110910-V"]	["ВЗЯТЬ; БРАТЬ", "ДОСТАТЬ; ИЗВЛЕКАТЬ; ДОСТАВАТЬ; ИЗВЛЕЧЬ", "ВЫНИМАТЬ; ВЫНУТЬ"]
130445-V	ВЫКАЧАТЬ; ВЫКАЧИВАТЬ	["118698-V", "116303-V"]	["СОВЕРШИТЬ ДЕЙСТВИЕ; ДЕЛАТЬ; ДЕЙСТВОВАТЬ; СДЕЛАТЬ; СОВЕРШАТЬ ДЕЙСТВИЕ; ДЕЛАТЬСЯ", "ПОЛУЧАТЬ В РАСПОРЯЖЕНИЕ; ЗАИМЕТЬ; ПОЛУЧИТЬ; ПОЛУЧИТЬ В СВОЕ РАСПОРЯЖЕНИЕ; ПОЛУЧИТЬ В РАСПОРЯЖЕНИЕ; ПОЛУЧАТЬ"]
133223-V	ОБРЕСТИ; ОБРЕТАТЬ	["116303-V", "118698-V"]	["ПОЛУЧАТЬ В РАСПОРЯЖЕНИЕ; ЗАИМЕТЬ; ПОЛУЧИТЬ; ПОЛУЧИТЬ В СВОЕ РАСПОРЯЖЕНИЕ; ПОЛУЧИТЬ В РАСПОРЯЖЕНИЕ; ПОЛУЧАТЬ", "СОВЕРШИТЬ ДЕЙСТВИЕ; ДЕЛАТЬ; ДЕЙСТВОВАТЬ; СДЕЛАТЬ; СОВЕРШАТЬ ДЕЙСТВИЕ; ДЕЛАТЬСЯ"]
133223-V	ОБРЕСТИ; ОБРЕТАТЬ	["120784-V", "106493-V"]	["ПОЛУЧИТЬ; ПОЛУЧАТЬ", "СОЗИДАТЬ; НАСОЗДАВАТЬ; СОЗИДАТЬСЯ; СОЗДАВАТЬ; СОЗДАТЬ"]
133223-V	ОБРЕСТИ; ОБРЕТАТЬ	["117371-V", "118282-V"]	["ВЫЯВЛЯТЬ; ВЫСВЕЧИВАТЬ; ПРИМЕТИТЬ; ПОДМЕТИТЬ; ВСКРЫТЬ; ВСКРЫВАТЬ; УВИДЕТЬ; ПРИМЕЧАТЬ; ОБНАРУЖИТЬ; ОБНАРУЖИВАТЬ; НЕ УСКОЛЬЗНУТЬ ОТ ВНИМАНИЯ; ЗАСЕЧЬ; ЗАСЕКАТЬ; ЗАПРИМЕТИТЬ; ВЫСВЕТИТЬ; ЗАМЕЧАТЬ; ЗАМЕТИТЬ; ВЫЯВИТЬ; ПОДМЕЧАТЬ", "РАЗЫСКАТЬ; ОТЫСКАТЬ; НАХОДИТЬ; НАЙТИ; ИЗЫСКИВАТЬСЯ; ИЗЫСКИВАТЬ; ИЗЫСКАТЬ; ДОИСКИВАТЬСЯ; ВЫИСКИВАТЬСЯ; ВЫИСКИВАТЬ; ВЫИСКАТЬ; ПОДЫСКИВАТЬ; ПРИИСКАТЬ; ПРИИСКИВАТЬ; РАЗЫСКИВАТЬ; СЫСКАТЬ; ОТЫСКИВАТЬ; ПОДЫСКАТЬ"]
251-V	РЕМОНТИРОВАТЬ АВТОМОБИЛЬ; ОТРЕМОНТИРОВАТЬ АВТОМОБИЛЬ	["464-V", "106501-V", "106530-V", "106529-V", "111375-V", "7064-V"]	["ПОДРЕМОНТИРОВАТЬ; ОТРЕМОНТИРОВАТЬ; РЕМОНТИРОВАТЬ; ПРОИЗВОДИТЬ РЕМОНТ; ПРОИЗВЕСТИ РЕМОНТ", "ПОДЕЛАТЬ", "ОБСЛУЖИВАТЬ; ОБСЛУЖИТЬ", "ОБСЛУЖИВАТЬ; ОБСЛУЖИТЬ", "УСТРАНЯТЬ НЕИСПРАВНОСТЬ; ПОЧИНИТЬ; ЧИНИТЬ; НАЧИНИВАТЬ; НАЧИНИТЬ", "ОКАЗЫВАТЬ УСЛУГИ; ПРЕДОСТАВЛЯТЬ УСЛУГИ"]
141664-V	БАЛАНСИРОВАТЬ	["129710-V", "106490-V"]	["ПРИВОДИТЬ В СОСТОЯНИЕ; ВЫВЕСТИ; ВЫВОДИТЬ; ИЗМЕНИТЬ СОСТОЯНИЕ; ПРИВОДИТЬСЯ; ПРИВЕСТИ; ПРИВЕСТИ В СОСТОЯНИЕ; ПРИВОДИТЬ", "ОТЛАДИТЬ; ОТЛАЖИВАТЬ; ОТРЕГУЛИРОВАТЬ; ПОДРЕГУЛИРОВАТЬ; РЕГУЛИРОВАТЬ; НАЛАДИТЬ; НАЛАЖИВАТЬ"]
141664-V	БАЛАНСИРОВАТЬ	["106501-V", "106530-V"]	["ПОДЕЛАТЬ", "ОБСЛУЖИВАТЬ; ОБСЛУЖИТЬ"]
2258-V	ОБЕСПЕЧИТЬ ПОРЯДОК; ПОДДЕРЖИВАТЬ ПРАВОПОРЯДОК; ПОДДЕРЖИВАТЬ ОБЩЕСТВЕННЫЙ ПОРЯДОК; ОБЕСПЕЧИТЬ ОБЩЕСТВЕННЫЙ ПОРЯДОК; ОБЕСПЕЧИТЬ ПРАВОПОРЯДОК; ОХРАНЯТЬ ПРАВОПОРЯДОК; ЗАЩИЩАТЬ ОБЩЕСТВЕННЫЙ ПОРЯДОК; ЗАЩИЩАТЬ ПРАВОПОРЯДОК; ОБЕСПЕЧИВАТЬ ОБЩЕСТВЕННЫЙ ПОРЯДОК; ОХРАНЯТЬ ПОРЯДОК; ОХРАНЯТЬ ОБЩЕСТВЕННЫЙ ПОРЯДОК; ОБЕСПЕЧИВАТЬ ПОРЯДОК; ОБЕСПЕЧИВАТЬ ПРАВОПОРЯДОК	["6938-V", "106597-V"]	["ОБЕСПЕЧИВАТЬ БЕЗОПАСНОСТЬ; ОБЕСПЕЧИТЬ ОХРАНУ; ОБЕСПЕЧИТЬ БЕЗОПАСНОСТЬ; ОБЕСПЕЧИВАТЬ ОХРАНУ", "НЕСТИ ОХРАНУ; ОХРАНЯТЬ"]
2258-V	ОБЕСПЕЧИТЬ ПОРЯДОК; ПОДДЕРЖИВАТЬ ПРАВОПОРЯДОК; ПОДДЕРЖИВАТЬ ОБЩЕСТВЕННЫЙ ПОРЯДОК; ОБЕСПЕЧИТЬ ОБЩЕСТВЕННЫЙ ПОРЯДОК; ОБЕСПЕЧИТЬ ПРАВОПОРЯДОК; ОХРАНЯТЬ ПРАВОПОРЯДОК; ЗАЩИЩАТЬ ОБЩЕСТВЕННЫЙ ПОРЯДОК; ЗАЩИЩАТЬ ПРАВОПОРЯДОК; ОБЕСПЕЧИВАТЬ ОБЩЕСТВЕННЫЙ ПОРЯДОК; ОХРАНЯТЬ ПОРЯДОК; ОХРАНЯТЬ ОБЩЕСТВЕННЫЙ ПОРЯДОК; ОБЕСПЕЧИВАТЬ ПОРЯДОК; ОБЕСПЕЧИВАТЬ ПРАВОПОРЯДОК	["106501-V"]	["ПОДЕЛАТЬ"]
145958-V	ЗАЩИТИТЬ ИМУЩЕСТВО; ЗАЩИЩАТЬ ИМУЩЕСТВО	["6938-V", "106597-V"]	["ОБЕСПЕЧИВАТЬ БЕЗОПАСНОСТЬ; ОБЕСПЕЧИТЬ ОХРАНУ; ОБЕСПЕЧИТЬ БЕЗОПАСНОСТЬ; ОБЕСПЕЧИВАТЬ ОХРАНУ", "НЕСТИ ОХРАНУ; ОХРАНЯТЬ"]
135000-V	ОСВОБОДИТЬ ОТ УГОЛОВНОЙ ОТВЕТСТВЕННОСТИ; ПРЕКРАЩАТЬ УГОЛОВНОЕ ПРЕСЛЕДОВАНИЕ; ПРЕКРАЩАТЬ УГОЛОВНОЕ ДЕЛО; ОСВОБОЖДАТЬ ОТ УГОЛОВНОЙ ОТВЕТСТВЕННОСТИ; ПРЕКРАТИТЬ УГОЛОВНОЕ ДЕЛО; ПРЕКРАТИТЬ УГОЛОВНОЕ ПРЕСЛЕДОВАНИЕ	["140747-V", "106485-V"]	["ЗАКРЫВАТЬ ДЕЛО; ПРЕКРАТИТЬ ПРОИЗВОДСТВО ПО; ПРЕКРАТИТЬ ДЕЛО; ЗАКРЫТЬ ДЕЛО; ПРОИЗВОДСТВО ПО ДЕЛУ ПРЕКРАЩЕНО; ПРЕКРАЩАТЬ ПРОИЗВОДСТВО ПО ДЕЛУ; ПРЕКРАЩАТЬ ДЕЛО; ПРЕКРАТИТЬ ПРОИЗВОДСТВО ПО ДЕЛУ; ПРЕКРАЩАТЬ ПРОИЗВОДСТВО ПО", "КОНЧИТЬ; ПРЕКРАТИТЬ; ПЕРЕСТАТЬ; ПЕРЕСТАВАТЬ; ЗАКАНЧИВАТЬ; ЗАКОНЧИТЬ; КОНЧАТЬ; ОСТАНОВИТЬСЯ; ОСТАНАВЛИВАТЬСЯ"]
135000-V	ОСВОБОДИТЬ ОТ УГОЛОВНОЙ ОТВЕТСТВЕННОСТИ; ПРЕКРАЩАТЬ УГОЛОВНОЕ ПРЕСЛЕДОВАНИЕ; ПРЕКРАЩАТЬ УГОЛОВНОЕ ДЕЛО; ОСВОБОЖДАТЬ ОТ УГОЛОВНОЙ ОТВЕТСТВЕННОСТИ; ПРЕКРАТИТЬ УГОЛОВНОЕ ДЕЛО; ПРЕКРАТИТЬ УГОЛОВНОЕ ПРЕСЛЕДОВАНИЕ	["135001-V", "117915-V"]	["ОСВОБОДИТЬ ОТ НАКАЗАНИЯ; ОСВОБОЖДАТЬ ОТ НАКАЗАНИЯ", "ОСВОБОДИТЬ ОТ ОБЯЗАННОСТИ; ОСВОБОДИТЬ ОТ ИСПОЛНЕНИЯ ОБЯЗАННОСТИ; ОСВОБОЖДАТЬ; ОСВОБОДИТЬ"]
135100-V	СЛИЗНУТЬ; СЛИЗАТЬ; СЛИЗАТЬ ЯЗЫКОМ; СЛИЗЫВАТЬ	["112077-V", "121418-V"]	["НАСОБИРАТЬ; ПОДСОБРАТЬ; ПОСОБИРАТЬ; СОБИРАТЬ; СОБИРАТЬ В ОДНОМ МЕСТЕ; СОБРАТЬ; СОБРАТЬ В ОДНОМ МЕСТЕ", "ПОДОБРАТЬ; ПОДБИРАТЬ"]
135100-V	СЛИЗНУТЬ; СЛИЗАТЬ; СЛИЗАТЬ ЯЗЫКОМ; СЛИЗЫВАТЬ	["120734-V", "111998-V"]	["СЧИСТИТЬСЯ; ОТТЕРЕТЬСЯ; ОТТИРАТЬСЯ; ОТЧИСТИТЬСЯ; ОТЧИЩАТЬСЯ; СЧИСТИТЬ; СЧИЩАТЬ; СЧИЩАТЬСЯ", "СНИМАТЬ; СНЯТЬ; ПОСНИМАТЬ"]
125653-V	ПОВЕЛЕВАТЬ	["125652-V", "115660-V", "118038-V"]	["ВЛАДЫЧЕСТВОВАТЬ; ГОСПОДСТВОВАТЬ; ВЛАСТВОВАТЬ; ОБЛАДАТЬ ВЛАСТЬЮ", "СКЛОНИТЬ ЧАША ВЕСОВ В ПОЛЬЗУ; СКЛОНИТЬ ЧАША ВЕСЫ; УТЕРЕТЬ НОС; ПОЛУЧИТЬ ПЕРЕВЕС; ЗАТКНУТЬ ЗА ПОЯС; ПРЕВЗОЙТИ; ПОЛУЧАТЬ ПЕРЕВЕС; ПЕРЕЩЕГОЛЯТЬ; ПРЕВОСХОДИТЬ; ЗАТМЕВАТЬ; ЗАТМИТЬ; ИМЕТЬ ПРЕВОСХОДСТВО; ПЕРЕКРЫВАТЬ; ПЕРЕПЛЮНУТЬ; ПЕРЕКРЫТЬ; ПЕРЕКРЫТЬСЯ", "СТАВИТЬ В ЗАВИСИМОСТЬ; ПОСТАВИТЬ В ЗАВИСИМОСТЬ; ПОДЧИНЯТЬ; ПОДЧИНИТЬ; ПОДЧИНЯТЬ СВОЕЙ ВЛАСТИ; ПОДЧИНИТЬ СВОЕЙ ВЛАСТИ"]
115875-V	ПОДСУШИВАТЬ; ПОДСУШИТЬ	["111479-V", "110908-V"]	["ВЫСУШИТЬ; СУШИТЬСЯ; СУШИТЬ; ПРОСУШИТЬ; ПРОСУШИВАТЬ; ОБСУШИТЬ; ОБСУШИВАТЬ; НАСУШИТЬ; НАСУШИВАТЬ; ЗАСУШИТЬ; ЗАСУШИВАТЬ; ДОСУШИТЬ; ДОСУШИВАТЬ; ВЫСУШИТЬСЯ; ВЫСУШИВАТЬ", "ВЫВЕСТИ; УДАЛЯТЬ; УДАЛЯТЬ НАРУЖУ; УДАЛИТЬ НАРУЖУ; ВЫВЕСТИ НАРУЖУ; ВЫВЕСТИСЬ; ВЫВОДИТЬ; ВЫВОДИТЬ ЗА ПРЕДЕЛЫ; УДАЛЯТЬСЯ; ВЫВОДИТЬ НАРУЖУ; ВЫВОДИТЬСЯ; УДАЛИТЬ; ВЫВЕСТИ ЗА ПРЕДЕЛЫ"]
117801-V	СУШИТЬ НА СЕБЕ; ОБСУШИТЬСЯ; ОБСУШИВАТЬСЯ; ВЫСУШИТЬСЯ; СУШИТЬСЯ	["111479-V", "110908-V"]	["ВЫСУШИТЬ; СУШИТЬСЯ; СУШИТЬ; ПРОСУШИТЬ; ПРОСУШИВАТЬ; ОБСУШИТЬ; ОБСУШИВАТЬ; НАСУШИТЬ; НАСУШИВАТЬ; ЗАСУШИТЬ; ЗАСУШИВАТЬ; ДОСУШИТЬ; ДОСУШИВАТЬ; ВЫСУШИТЬСЯ; ВЫСУШИВАТЬ", "ВЫВЕСТИ; УДАЛЯТЬ; УДАЛЯТЬ НАРУЖУ; УДАЛИТЬ НАРУЖУ; ВЫВЕСТИ НАРУЖУ; ВЫВЕСТИСЬ; ВЫВОДИТЬ; ВЫВОДИТЬ ЗА ПРЕДЕЛЫ; УДАЛЯТЬСЯ; ВЫВОДИТЬ НАРУЖУ; ВЫВОДИТЬСЯ; УДАЛИТЬ; ВЫВЕСТИ ЗА ПРЕДЕЛЫ"]
126323-V	ПРОМОКНУТЬ; ПРОМОКАТЬ	["111479-V", "110908-V"]	["ВЫСУШИТЬ; СУШИТЬСЯ; СУШИТЬ; ПРОСУШИТЬ; ПРОСУШИВАТЬ; ОБСУШИТЬ; ОБСУШИВАТЬ; НАСУШИТЬ; НАСУШИВАТЬ; ЗАСУШИТЬ; ЗАСУШИВАТЬ; ДОСУШИТЬ; ДОСУШИВАТЬ; ВЫСУШИТЬСЯ; ВЫСУШИВАТЬ", "ВЫВЕСТИ; УДАЛЯТЬ; УДАЛЯТЬ НАРУЖУ; УДАЛИТЬ НАРУЖУ; ВЫВЕСТИ НАРУЖУ; ВЫВЕСТИСЬ; ВЫВОДИТЬ; ВЫВОДИТЬ ЗА ПРЕДЕЛЫ; УДАЛЯТЬСЯ; ВЫВОДИТЬ НАРУЖУ; ВЫВОДИТЬСЯ; УДАЛИТЬ; ВЫВЕСТИ ЗА ПРЕДЕЛЫ"]
125882-V	ВЫСЕЛИТЬ; ВЫСЕЛИТЬ ИЗ ДОМА; ВЫСЕЛИТЬ ИЗ ЖИЛЬЯ; ВЫСЕЛЯТЬ; ВЫСЕЛЯТЬ ИЗ ДОМА; ВЫСЕЛЯТЬ ИЗ ЖИЛЬЯ	["115447-V", "106938-V", "106700-V"]	["ПЕРЕСЕЛЯТЬ; ПЕРЕСЕЛИТЬ", "ПЕРЕМЕЩАТЬ; ПЕРЕМЕСТИТЬ", "ПОСЕЛИТЬ; ПОСЕЛЯТЬ; ВСЕЛЯТЬ; СЕЛИТЬ; ЗАСЕЛИТЬ; ПОМЕСТИТЬ; ВСЕЛИТЬ; ЗАСЕЛЯТЬ"]
125882-V	ВЫСЕЛИТЬ; ВЫСЕЛИТЬ ИЗ ДОМА; ВЫСЕЛИТЬ ИЗ ЖИЛЬЯ; ВЫСЕЛЯТЬ; ВЫСЕЛЯТЬ ИЗ ДОМА; ВЫСЕЛЯТЬ ИЗ ЖИЛЬЯ	["112548-V", "115247-V", "111260-V"]	["УДАЛЯТЬСЯ; УДАЛЯТЬ; УДАЛИТЬ", "ПРОГОНЯТЬ; ВЫГНАТЬ; ВЫГОНЯТЬ; ВЫДВОРИТЬ; ВЫДВОРЯТЬ; ВЫПЕРЕТЬ; ВЫПИРАТЬ; ВЫПРОВАЖИВАТЬ; ВЫПРОВОДИТЬ; ВЫСТАВИТЬ; ВЫСТАВИТЬ ЗА ВОРОТА; ВЫСТАВИТЬ ЗА ДВЕРЬ; ВЫСТАВЛЯТЬ; ВЫТРЯХИВАТЬ; ВЫТРЯХНУТЬ; ВЫТУРИТЬ; ВЫШВЫРИВАТЬ; ВЫШВЫРНУТЬ; ТУРНУТЬ; ВЫШИБАТЬ; ТУРИТЬ; ВЫШИБИТЬ; ГНАТЬ; СПРОВАЖИВАТЬ; СПРОВАДИТЬ; ИЗГОНЯТЬ; ГНАТЬ В ТРИ ШЕИ; ПРОГНАТЬ; ПОПЕРЕТЬ; ПОКАЗАТЬ НА ДВЕРЬ; ПОГНАТЬ; ГНАТЬ В ШЕЮ; ИЗГНАТЬ", "НАТВОРИТЬ"]
127201-V	ОТЛУПИТЬСЯ; СЛЕЗТЬ; СЛЕЗАТЬ; СЛАЗИТЬ; ОБЛУПИТЬСЯ; ОБЛУПИТЬ; ОБЛЕЗТЬ; ОБЛЕЗАТЬ; ЛУПИТЬСЯ	["112155-V", "120653-V"]	["КАНУТЬ В ПРОШЛОЕ; ИСЧЕЗАТЬ; УТРАЧИВАТЬСЯ; УТРАТИТЬСЯ; ПЕРЕСТАТЬ СУЩЕСТВОВАТЬ; КАНУТЬ В ВЕЧНОСТЬ; ИСЧЕЗНУТЬ", "СОЙТИ С ПОВЕРХНОСТИ; СХОДИТЬ; СОЙТИ; СХОДИТЬ С ПОВЕРХНОСТИ"]
127201-V	ОТЛУПИТЬСЯ; СЛЕЗТЬ; СЛЕЗАТЬ; СЛАЗИТЬ; ОБЛУПИТЬСЯ; ОБЛУПИТЬ; ОБЛЕЗТЬ; ОБЛЕЗАТЬ; ЛУПИТЬСЯ	["115548-V", "115547-V", "107447-V"]	["ОТДЕЛИТЬСЯ; ОТДЕЛИТЬСЯ ОТ ЦЕЛОГО; ОТДЕЛЯТЬСЯ", "ОТПАСТЬ; ОБВАЛИВАТЬСЯ; ОТПАДАТЬ; ОТВАЛИТЬСЯ; ОБВАЛИТЬСЯ; ОТВАЛИВАТЬСЯ", "ЛЕТЕТЬ; УПАСТЬ; ПОЛЕТЕТЬ ВНИЗ; ПОЛЕТЕТЬ; ПАСТЬ; ПАДАТЬ"]
109122-V	ПОТУШИТЬ; ТУШИТЬ ПРОДУКТЫ; ТУШИТЬ	["109121-V", "109109-V"]	["ВАРИТЬ; ВАРИТЬСЯ; ДОВАРИВАТЬ; СВАРИТЬСЯ; ПОВАРИТЬСЯ; ПОВАРИТЬ; ОТВАРИТЬ; ОТВАРИВАТЬ; НАВАРИТЬ; СВАРИТЬ; НАВАРИВАТЬ; ДОВАРИТЬ", "ПРИГОТОВИТЬ; ГОТОВИТЬ; ГОТОВИТЬ ЕДУ; ГОТОВИТЬ ПИЩУ; ГОТОВИТЬСЯ; ИЗГОТОВИТЬ ЕДУ; ИЗГОТОВИТЬ ПИЩУ; НАГОТАВЛИВАТЬ; НАГОТОВИТЬ; СТРЯПАТЬ; СОСТРЯПАТЬ; ПРИГОТАВЛИВАТЬ; ПРИГОТОВИТЬ БЛЮДО; ПРИГОТОВИТЬ ЕДУ; ПРИГОТОВИТЬ ПИЩУ; ПРИГОТОВЛЯТЬ; СГОТОВИТЬ"]
112383-V	ПЕРЕВАРИТЬ; СВАРИТЬ ЗАНОВО; ПЕРЕВАРИВАТЬ; ПЕРЕВАРИТЬ ЗАНОВО	["120969-V", "107602-V"]	["ПЕРЕДЕЛАТЬ; СДЕЛАТЬ ЗАНОВО; ПРОИЗВОДИТЬ ПЕРЕДЕЛКУ; ПРОИЗВЕСТИ ПЕРЕДЕЛКУ; ПЕРЕДЕЛЫВАТЬ; ДЕЛАТЬ ЗАНОВО", "ПОВТОРИТЬ; ПОВТОРИТЬ ЕЩЕ РАЗ; ПОВТОРЯТЬ; СДЕЛАТЬ ЕЩЕ РАЗ; ДЕЛАТЬ ЕЩЕ РАЗ"]
112383-V	ПЕРЕВАРИТЬ; СВАРИТЬ ЗАНОВО; ПЕРЕВАРИВАТЬ; ПЕРЕВАРИТЬ ЗАНОВО	["109121-V", "109109-V"]	["ВАРИТЬ; ВАРИТЬСЯ; ДОВАРИВАТЬ; СВАРИТЬСЯ; ПОВАРИТЬСЯ; ПОВАРИТЬ; ОТВАРИТЬ; ОТВАРИВАТЬ; НАВАРИТЬ; СВАРИТЬ; НАВАРИВАТЬ; ДОВАРИТЬ", "ПРИГОТОВИТЬ; ГОТОВИТЬ; ГОТОВИТЬ ЕДУ; ГОТОВИТЬ ПИЩУ; ГОТОВИТЬСЯ; ИЗГОТОВИТЬ ЕДУ; ИЗГОТОВИТЬ ПИЩУ; НАГОТАВЛИВАТЬ; НАГОТОВИТЬ; СТРЯПАТЬ; СОСТРЯПАТЬ; ПРИГОТАВЛИВАТЬ; ПРИГОТОВИТЬ БЛЮДО; ПРИГОТОВИТЬ ЕДУ; ПРИГОТОВИТЬ ПИЩУ; ПРИГОТОВЛЯТЬ; СГОТОВИТЬ"]
115931-V	ОГЛЯНУТЬСЯ; ОГЛЯНУТЬСЯ ВОКРУГ; ОГЛЯНУТЬСЯ ПО СТОРОНАМ; ОГЛЯДЫВАТЬСЯ; ОЗИРАТЬСЯ; ОСМАТРИВАТЬСЯ; ОСМОТРЕТЬСЯ; ПОСМОТРЕТЬ ВОКРУГ; СМОТРЕТЬ ПО СТОРОНАМ; ОГЛЯДЕТЬСЯ; ОБСМОТРЕТЬСЯ; ОБСМАТРИВАТЬСЯ	["145755-V", "106903-V", "114501-V"]	["НАПРАВИТЬ; НАПРАВЛЯТЬ; НАПРАВЛЯТЬСЯ", "ПРОСМОТРЕТЬ; БРОСАТЬ ВЗГЛЯД; БРОСАТЬ ВЗОР; БРОСИТЬ ВЗГЛЯД; ВЗГЛЯДЫВАТЬ; ВЗГЛЯНУТЬ; ВЗИРАТЬ; ВИДЕТЬ СВОИМИ ГЛАЗАМИ; ГЛЯДЕТЬ; ГЛЯНУТЬ; КИНУТЬ ВЗГЛЯД; КИНУТЬ ВЗОР; НАПРАВИТЬ ВЗГЛЯД; НАПРАВИТЬ ГЛАЗА; НАПРАВЛЯТЬ ВЗГЛЯД; НАПРАВЛЯТЬ ГЛАЗА; ОБРАТИТЬ ВЗГЛЯД; ОБРАТИТЬ СВОЙ ВЗГЛЯД; ОБРАЩАТЬ ВЗГЛЯД; ОСТАНАВЛИВАТЬ ВЗГЛЯД; ОСТАНОВИТЬ ВЗГЛЯД; ПОГЛЯДЕТЬ; ПОГЛЯДЫВАТЬ; ПОСМАТРИВАТЬ; СМОТРЕТЬ; ПОСМОТРЕТЬ", "УСТРЕМИТЬ; ОБРАЩАТЬ; УСТРЕМЛЯТЬ; НАПРАВИТЬ; НАПРАВЛЯТЬ; ОБРАТИТЬ"]
